card_id,title,act,related_chars,type,show_condition,difficulty,source_file,source_pages
C-序幕-00,封面海报（情风书说·浸探案）,序幕,,视觉资产,开场展示/装帧封面,易,Data/流氓叙事Origin/线索/序幕认罪现场_纯图版.pdf,1
C-序幕-01,第一位发言：蒋伯驾,序幕,蒋伯驾,明文,序幕认罪环节，作为第一位发言时出示,易,Data/流氓叙事Origin/线索/序幕认罪现场_纯图版.pdf,7
C-序幕-02,第二位发言：程走柳,序幕,程走柳,明文,序幕认罪环节，作为第二位发言时出示,易,Data/流氓叙事Origin/线索/序幕认罪现场_纯图版.pdf,4
C-序幕-03,第三位发言：以撒,序幕,以撒,明文,序幕认罪环节，作为第三位发言时出示,易,Data/流氓叙事Origin/线索/序幕认罪现场_纯图版.pdf,6
C-序幕-04,第四位发言：缪宏谟,序幕,缪宏谟,明文,序幕认罪环节，作为第四位发言时出示,易,Data/流氓叙事Origin/线索/序幕认罪现场_纯图版.pdf,7
C-序幕-05,第五位发言：黛利拉,序幕,黛利拉,明文,序幕认罪环节，作为第五位发言时出示,易,Data/流氓叙事Origin/线索/序幕认罪现场_纯图版.pdf,3
C-序幕-06,第六位发言：程聿怀,序幕,程聿怀,明文,序幕认罪环节，作为第六位发言时出示,易,Data/流氓叙事Origin/线索/序幕认罪现场_纯图版.pdf,2
C-第一幕-01,红桃A船票,第一幕,黛利拉,混合,第一幕发放给/绑定角色黛利拉的个人线索卡,易,Data/流氓叙事Origin/线索/第一幕个人线索_纯图版.pdf,5(卡号01)
C-第一幕-02,蝴蝶标本与蛇,第一幕,以撒,混合,第一幕发放给/绑定角色以撒的个人线索卡,易,Data/流氓叙事Origin/线索/第一幕个人线索_纯图版.pdf,2(卡号02)
C-第一幕-03,缪副院长的旧婚约,第一幕,缪宏谟,明文,第一幕发放给/绑定角色缪宏谟的个人线索卡,中,Data/流氓叙事Origin/线索/第一幕个人线索_纯图版.pdf,3(卡号03)
C-第一幕-04,东国广府的钥匙,第一幕,程走柳,混合,第一幕发放给/绑定角色程走柳的个人线索卡,易,Data/流氓叙事Origin/线索/第一幕个人线索_纯图版.pdf,6(卡号04)
C-第一幕-05,对讲机·加密频道贝姬,第一幕,蒋伯驾,混合,第一幕发放给/绑定角色蒋伯驾的个人线索卡,中,Data/流氓叙事Origin/线索/第一幕个人线索_纯图版.pdf,4(卡号05)
C-第一幕-06,青花瓷纹面与羌青瓷,第一幕,程聿怀;羌青瓷,明文,第一幕发放给/绑定角色程聿怀的个人线索卡,中,Data/流氓叙事Origin/线索/第一幕个人线索_纯图版.pdf,7(卡号06)
C-第三幕-唱片1,Stairway to Heaven（通往天堂的阶梯）— Led Zeppelin,第三幕,,明文,第三幕·唱片线索（唱片编号1）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,1-2
C-第三幕-唱片2,"I Know, You Know — Gotthard",第三幕,,明文,第三幕·唱片线索（唱片编号2）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,19-20
C-第三幕-唱片3,Screaming in the Night — Krokus,第三幕,,明文,第三幕·唱片线索（唱片编号3）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,21-22
C-第三幕-唱片4,Fool for Your Loving（爱的傻瓜）— Whitesnake,第三幕,,明文,第三幕·唱片线索（唱片编号4）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,3-4
C-第三幕-唱片5,Mama Said（妈妈说）— Metallica,第三幕,,明文,第三幕·唱片线索（唱片编号5）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,5-6
C-第三幕-唱片6,Wish You Were Here（希望你在这里）— Pink Floyd,第三幕,,明文,第三幕·唱片线索（唱片编号6）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,7-8
C-第三幕-唱片7,Sister Moon（月亮姐姐）— Gotthard,第三幕,,明文,第三幕·唱片线索（唱片编号7）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,9-10
C-第三幕-唱片8,Chocolate Drops（巧克力粒）— Iggy Pop,第三幕,,明文,第三幕·唱片线索（唱片编号8）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,11-12
C-第三幕-唱片9,Don't Cry（别哭）— Guns N' Roses【题注：奥丁】,第三幕,奥丁,混合,第三幕·唱片线索（唱片编号9，封面题注「奥丁」）,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,13-14
C-第三幕-唱片10,Secret（秘密）— Yanni【题注：羌青瓷致程走柳】,第三幕,羌青瓷（=瑞法·莱诺）;程走柳,混合,第三幕·唱片线索（唱片编号10，封面题注「羌青瓷致程走柳」；歌词页末附红字手写台词）,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,15-16
C-第三幕-唱片11,Mountain Mama（山岳母亲）— Gotthard【题注：羌青瓷致程聿怀】,第三幕,羌青瓷（=瑞法·莱诺）;程聿怀（=程雨怀）,混合,第三幕·唱片线索（唱片编号11，封面题注「羌青瓷致程聿怀」）,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第三幕歌词卡_纯图版.pdf,17-18
C-第四幕-01,第四幕扉页（装帧）,第四幕,,视觉资产,第四幕开场封面,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第四幕诊断记录_纯图版.pdf,1
C-第四幕-02,病例记录（医生引导台词总表）,第四幕,医生(治疗者);黛利拉;以撒;缪宏谟;程走柳;蒋伯驾;程聿怀;奥丁,明文,第四幕心理治疗环节，医生逐一引导七位患者时朗读,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第四幕诊断记录_纯图版.pdf,2
C-第四幕-03,诊疗记录卡·程聿怀（第一次）,第四幕,程聿怀,混合,程聿怀接受第一次心理治疗后出示其诊疗记录卡,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第四幕诊断记录_纯图版.pdf,3
C-第四幕-04,诊疗记录卡·缪宏谟（第一次）,第四幕,缪宏谟;伯纳德;撒该,混合,缪宏谟接受第一次心理治疗后出示其诊疗记录卡,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第四幕诊断记录_纯图版.pdf,4
C-第四幕-05,诊疗记录卡·以撒（第一次）,第四幕,以撒;撒该;以撒祖母,混合,以撒接受第一次心理治疗后出示其诊疗记录卡,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第四幕诊断记录_纯图版.pdf,5
C-第四幕-06,诊疗记录卡·黛利拉（第二次）,第四幕,黛利拉;黛利拉姐姐妈妈,混合,黛利拉接受第二次心理治疗后出示其诊疗记录卡,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第四幕诊断记录_纯图版.pdf,6
C-第四幕-07,诊疗记录卡·程走柳（第一次）,第四幕,程走柳;莱诺家族;伯纳德;劳伦,混合,程走柳接受第一次心理治疗后出示其诊疗记录卡,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第四幕诊断记录_纯图版.pdf,7
C-第四幕-08,诊疗记录卡·蒋伯驾（第一次）,第四幕,蒋伯驾;伯纳德,混合,蒋伯驾接受第一次心理治疗后出示其诊疗记录卡,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第四幕诊断记录_纯图版.pdf,8
C-第七幕-01,认罪现场·以撒版〔装帧封面〕,第七幕,以撒,视觉资产,第七幕认罪现场，以撒角色版本封面,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第七幕认罪现场.pdf,1
C-第七幕-02,认罪现场·以撒版〔剧本〕,第七幕,以撒;瑞法·莱诺（羌青瓷）;蒋伯驾;黛利拉;缪宏谟;程走柳;程聿怀,明文,第七幕认罪现场，以撒玩家执此本上台认罪,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第七幕认罪现场.pdf,2
C-第七幕-03,认罪现场·程走柳版〔装帧封面〕,第七幕,程走柳,视觉资产,第七幕认罪现场，程走柳角色版本封面,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第七幕认罪现场.pdf,3
C-第七幕-04,认罪现场·程走柳版〔剧本〕,第七幕,程走柳;羌青瓷（瑞法·莱诺）;蒋伯驾;黛利拉;以撒;缪宏谟;程聿怀,明文,第七幕认罪现场，程走柳玩家执此本上台认罪,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第七幕认罪现场.pdf,4
C-第七幕-05,认罪现场·黛利拉版〔装帧封面〕,第七幕,黛利拉,视觉资产,第七幕认罪现场，黛利拉角色版本封面,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第七幕认罪现场.pdf,5
C-第七幕-06,认罪现场·黛利拉版〔剧本〕,第七幕,黛利拉;瑞法·莱诺（羌青瓷）;蒋伯驾;以撒;缪宏谟;程走柳;程聿怀,明文,第七幕认罪现场，黛利拉玩家执此本上台认罪,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第七幕认罪现场.pdf,6
C-第七幕-07,认罪现场·蒋伯驾版〔装帧封面〕,第七幕,蒋伯驾,视觉资产,第七幕认罪现场，蒋伯驾角色版本封面,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第七幕认罪现场.pdf,7
C-第七幕-08,认罪现场·蒋伯驾版〔剧本〕,第七幕,蒋伯驾;瑞法·莱诺（羌青瓷）;黛利拉;以撒;缪宏谟;程走柳;程聿怀,明文,第七幕认罪现场，蒋伯驾玩家执此本上台致词并自爆卧底身份,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第七幕认罪现场.pdf,8
C-第七幕-09,认罪现场·程聿怀版〔装帧封面〕,第七幕,程聿怀,视觉资产,第七幕认罪现场，程聿怀角色版本封面,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第七幕认罪现场.pdf,9
C-第七幕-10,认罪现场·程聿怀版〔剧本〕,第七幕,程聿怀;羌青瓷（瑞法·莱诺）;蒋伯驾;黛利拉;以撒;缪宏谟;程走柳,明文,第七幕认罪现场，程聿怀玩家执此本上台认罪,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第七幕认罪现场.pdf,10
C-第七幕-11,认罪现场·缪宏谟版〔装帧封面〕,第七幕,缪宏谟,视觉资产,第七幕认罪现场，缪宏谟角色版本封面,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第七幕认罪现场.pdf,11
C-第七幕-12,认罪现场·缪宏谟版〔剧本〕,第七幕,缪宏谟;瑞法·莱诺（羌青瓷）;蒋伯驾;黛利拉;以撒;程走柳;程聿怀,明文,第七幕认罪现场，缪宏谟玩家执此本上台认罪,中,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第七幕认罪现场.pdf,12
C-第八幕-01,给黛利拉的信,第八幕,奥丁;黛利拉,明文,第八幕（CHAPTER VIII）相关节点出示；为奥丁留给黛利拉的手写遗书/信物（耳机）附信,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/第八幕给黛利拉的信_纯图版.pdf,1-2（第1页装帧封面，第2页信件正文）
C-杂项-红桃A-01,红桃A留言卡 · 封面/扉页（ARCHEY · SOMETHING FOR NOTHING）,杂项（未定）,,视觉资产,作为整组留言卡的封面/包装页随卡出示,易,Data/流氓叙事Origin/线索/红桃a留言卡_纯图版.pdf,1
C-杂项-红桃A-02,红桃A留言卡 · 抵达房间（链条终点：进来与我见面）,杂项（未定）,神偷先生;杀手小姐,混合,玩家（杀手小姐）沿链式留言抵达指定房间门口时出示，进入即与神偷先生见面,中,Data/流氓叙事Origin/线索/红桃a留言卡_纯图版.pdf,2
C-杂项-红桃A-03,红桃A留言卡 · 中途指引（你已按指引来找我，再往前走）,杂项（未定）,神偷先生;杀手小姐,混合,链式寻人途中节点出示，确认对方已按指引前来并提示继续前行,中,Data/流氓叙事Origin/线索/红桃a留言卡_纯图版.pdf,3
C-杂项-红桃A-04,红桃A留言卡 · 自我介绍（我是神偷先生，跟着沿途的留言找我）,杂项（未定）,神偷先生;杀手小姐,混合,链式留言起点出示，神偷先生发起邀约，引导杀手小姐沿留言寻人,中,Data/流氓叙事Origin/线索/红桃a留言卡_纯图版.pdf,4
C-杂项-便利签-小程,给小程的心情便利签（一本手写便签，含4张便利签+封面/封底）,杂项,程聿怀;羌青瓷(推断作者);保罗;阿杰,混合,未标明出示条件；指向程聿怀加入狂草帮的前史与人物关系，暂归杂项,难,Data/流氓叙事Origin/线索/给小程的心情便利签_纯图版.pdf,1-6
C-杂项-便利签-小缪-01,封面（装帧页）：给小缪的心情便利签,杂项,缪宏谟,视觉资产,线索册首页/封面，开局即可见,易,Data/流氓叙事Origin/线索/给小缪的心情便利签_纯图版.pdf,1
C-杂项-便利签-小缪-02,便签01：关于衣服（把衣服给以撒）,杂项,缪宏谟;以撒;书写者(待考),明文,翻阅心情便利签册时出示,难,Data/流氓叙事Origin/线索/给小缪的心情便利签_纯图版.pdf,2
C-杂项-便利签-小缪-03,便签02：关于耳机/蓝色,杂项,缪宏谟;书写者(待考),明文,翻阅心情便利签册时出示,难,Data/流氓叙事Origin/线索/给小缪的心情便利签_纯图版.pdf,3
C-杂项-便利签-小缪-04,便签03：关于一首歌（你比我更懂感受情绪）,杂项,缪宏谟;书写者(待考),明文,翻阅心情便利签册时出示,难,Data/流氓叙事Origin/线索/给小缪的心情便利签_纯图版.pdf,4
C-杂项-便利签-小缪-05,便签04：关于看不见与莱诺家族,杂项,缪宏谟;以撒;小程;你哥;莱诺家族;书写者(待考),混合,翻阅心情便利签册时出示,难,Data/流氓叙事Origin/线索/给小缪的心情便利签_纯图版.pdf,5
C-杂项-便利签-小缪-06,封底（装帧页）：SOMETHING FOR NOTHING,杂项,,视觉资产,线索册封底,易,Data/流氓叙事Origin/线索/给小缪的心情便利签_纯图版.pdf,6
C-杂项-船票-封面,船票封面（流氓叙事帆船插画装帧页）,杂项,,视觉资产,作为船票道具的封面/扉页随票一并出示,易,Data/流氓叙事Origin/线索/船票_纯图版.pdf,1
C-杂项-船票-正本,珠江夜游双人票（BOARDING PASS，含编号NO.00698742/条形码123456789/待填字段）,杂项,,混合,作为道具实物在相应情节交予/被发现时出示（双人票，需填写乘客姓名、称谓、舱位）,中,Data/流氓叙事Origin/线索/船票_纯图版.pdf,2-3
C-杂项-通缉令-01,通缉令画像 · 程聿怀（女版）,未定（暂归杂项）,程聿怀,视觉资产,作为通缉令道具出示（具体出示时机/出示者未定）,易,Data/流氓叙事Origin/线索/通缉令_纯图版.pdf,1
C-杂项-通缉令-02,通缉令画像 · 程走柳,未定（暂归杂项）,程走柳,视觉资产,作为通缉令道具出示（具体出示时机/出示者未定）,易,Data/流氓叙事Origin/线索/通缉令_纯图版.pdf,2
C-杂项-通缉令-03,通缉令画像 · 蒋伯驾（异写：将伯驾）,未定（暂归杂项）,蒋伯驾,视觉资产,作为通缉令道具出示（具体出示时机/出示者未定）,易,Data/流氓叙事Origin/线索/通缉令_纯图版.pdf,3
C-杂项-通缉令-04,通缉令画像 · 以撒,未定（暂归杂项）,以撒,视觉资产,作为通缉令道具出示（具体出示时机/出示者未定）,易,Data/流氓叙事Origin/线索/通缉令_纯图版.pdf,4
C-杂项-通缉令-05,通缉令画像 · 缪宏谟,未定（暂归杂项）,缪宏谟,视觉资产,作为通缉令道具出示（具体出示时机/出示者未定）,易,Data/流氓叙事Origin/线索/通缉令_纯图版.pdf,5
C-杂项-通缉令-06,通缉令画像 · 奥丁,未定（暂归杂项）,奥丁,视觉资产,作为通缉令道具出示（具体出示时机/出示者未定）,易,Data/流氓叙事Origin/线索/通缉令_纯图版.pdf,6
C-杂项-通缉令-07,通缉令画像 · 程聿怀（男版）,未定（暂归杂项）,程聿怀,视觉资产,作为通缉令道具出示（具体出示时机/出示者未定）,易,Data/流氓叙事Origin/线索/通缉令_纯图版.pdf,7
C-杂项-通缉令-08,通缉令画像 · 黛利拉,未定（暂归杂项）,黛利拉,视觉资产,作为通缉令道具出示（具体出示时机/出示者未定）,易,Data/流氓叙事Origin/线索/通缉令_纯图版.pdf,8
C-杂项-笑话本,奥丁的笑话小本（给以撒·传承版）,未定（杂项）,奥丁;以撒;阿杰,明文,待定（疑为以撒线个人持有物/奥丁死亡后揭示）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/奥丁的笑话小本（给以撒）_纯图版.pdf,1-9（封面、内页01-06、封底）
C-杂项-布雷诺设定,布雷诺相关资料（世界观设定卡）,未定（杂项）,延迟;奥丁;莱诺家族;缪家;诺族;布雷族;狂草帮,明文,未注明（设定资料/世界观背景卡，疑为玩家调查或开场背景发放）,易,Data/流氓叙事Origin/线索/布雷德相关资料_纯图版.pdf,1-7（p.1封面装帧页；p.2-7为同一设定卡正文的6份扫描件，内容一致）
C-杂项-路口-01,第一幕·第一个路口（封面装帧页）,第一幕,程走柳,视觉资产,未注明（装帧封面，随约会信件组配发）,易,一二三路口和不止于此_纯图版.pdf,1
C-杂项-路口-02,第一个路口（手写信）,第一幕,程走柳;寄信人(未署名),明文,未注明（约会邀请信，寄给程走柳）,易,一二三路口和不止于此_纯图版.pdf,2
C-杂项-路口-03,第二幕·第二个路口（封面装帧页）,第二幕,程走柳,视觉资产,未注明（装帧封面）,易,一二三路口和不止于此_纯图版.pdf,3
C-杂项-路口-04,第二个路口（手写信）,第二幕,程走柳;寄信人(未署名),明文,未注明（约会邀请信）,中,一二三路口和不止于此_纯图版.pdf,4
C-杂项-路口-05,第三幕·第三个路口（封面装帧页）,第三幕,程走柳,视觉资产,未注明（装帧封面）,易,一二三路口和不止于此_纯图版.pdf,5
C-杂项-路口-06,第三个路口（手写信）,第三幕,程走柳;寄信人(未署名),明文,未注明（约会邀请信）,中,一二三路口和不止于此_纯图版.pdf,6
C-杂项-路口-07,第六幕·不止于此（封面装帧页）,第六幕,程走柳,视觉资产,未注明（装帧封面，跳过第四五幕）,易,一二三路口和不止于此_纯图版.pdf,7
C-杂项-路口-08,不止于此（手写信·核心坦白）,第六幕,程走柳;寄信人(未署名);南来(尸体/牙齿来源),明文,未注明（约会邀请信终章，含尸体牙齿手链坦白）,难,一二三路口和不止于此_纯图版.pdf,8
C-杂项-信-蒋伯驾,给蒋伯驾的信,未定（杂项）,蒋伯驾;小缪;程聿怀;布雷诺;狂草帮,明文,落幕/个人结局赠言卡（推测，待确认）,易,Data/流氓叙事Origin/线索/扫描件_给蒋伯驾和程雨怀的信_纯图版.pdf,1-2
C-杂项-信-程聿怀,给程聿怀的信,未定（杂项）,程聿怀;写信人(未署名),明文,落幕/个人结局赠言卡（推测，待确认）,易,Data/流氓叙事Origin/线索/扫描件_给蒋伯驾和程雨怀的信_纯图版.pdf,3-4
C-杂项-海报-黛利拉,黛利拉主题海报「SOMETHING FOR NOTHING」（《流氓叙事》装帧海报）,未定（杂项；主题与第八幕呼应）,黛利拉,视觉资产,不明（补充图片线索，疑为剧本装帧/宣传海报或附赠海报卡）,易,/Users/liuqinyuan/Desktop/singularity彼岸/Data/流氓叙事Origin/线索/补.jpg,1（单张图片）
C-第七幕-证据-01,莱诺家族罪证：种族灭绝罪,第七幕,瑞法·莱诺(羌青瓷);莱诺家族,明文,第七幕证据/审判环节，需打印后裁切发放,易,Data/流氓叙事Origin/《流氓叙事》售后资料/第七幕 证据纸张【需要打印】.png,全幅 2×3 第1张(左上)
C-第七幕-证据-02,莱诺家族罪证：虚假新闻罪,第七幕,瑞法·莱诺(羌青瓷);莱诺家族,明文,第七幕证据/审判环节，需打印后裁切发放,易,Data/流氓叙事Origin/《流氓叙事》售后资料/第七幕 证据纸张【需要打印】.png,全幅 2×3 第2张(右上)
C-第七幕-证据-03,莱诺家族罪证：医疗罪,第七幕,瑞法·莱诺(羌青瓷);莱诺家族,明文,第七幕证据/审判环节，需打印后裁切发放,易,Data/流氓叙事Origin/《流氓叙事》售后资料/第七幕 证据纸张【需要打印】.png,全幅 2×3 第3张(左中)
C-第七幕-证据-04,莱诺家族罪证：谋杀罪,第七幕,瑞法·莱诺(羌青瓷);莱诺家族,明文,第七幕证据/审判环节，需打印后裁切发放,易,Data/流氓叙事Origin/《流氓叙事》售后资料/第七幕 证据纸张【需要打印】.png,全幅 2×3 第4张(右中)
C-第七幕-证据-05,莱诺家族罪证：战争罪,第七幕,瑞法·莱诺(羌青瓷);莱诺家族,明文,第七幕证据/审判环节，需打印后裁切发放,易,Data/流氓叙事Origin/《流氓叙事》售后资料/第七幕 证据纸张【需要打印】.png,全幅 2×3 第5张(左下)
C-第七幕-证据-06,莱诺家族罪证：非法贩卖武器罪,第七幕,瑞法·莱诺(羌青瓷);莱诺家族,明文,第七幕证据/审判环节，需打印后裁切发放,易,Data/流氓叙事Origin/《流氓叙事》售后资料/第七幕 证据纸张【需要打印】.png,全幅 2×3 第6张(右下)
